gene,CTRL_1,CTRL_2,CTRL_3,CTRL_4,CTRL_5,CTRL_6,DIS_1,DIS_2,DIS_3,DIS_4,DIS_5,DIS_6
GENE4454,492,1113,189,1028,66,231,278,505,553,398,522,649
GENE4455,21,74,45,37,18,69,31,51,56,25,50,35
GENE4456,54,253,133,149,110,210,204,326,121,316,166,117
GENE4457,653,567,759,1368,492,488,480,853,750,889,659,620
GENE4458,31,24,30,58,35,49,45,36,33,25,20,11
GENE4459,55,58,52,93,40,66,42,85,45,115,53,32
GENE4460,7,16,14,23,3,12,22,18,16,18,7,7
GENE4461,14,13,31,5,9,15,23,12,15,23,30,17
GENE4462,36,16,19,13,5,20,36,33,9,23,36,45
GENE4463,115,233,94,169,87,174,167,507,154,175,263,101
GENE4464,835,503,373,619,260,266,487,421,515,959,554,513
GENE4465,165,172,212,211,139,189,179,231,104,301,153,96
GENE4466,8,4,16,15,12,6,85,89,84,189,73,70
GENE4467,6,19,25,16,10,15,1,0,2,3,0,3
GENE4468,15,13,16,33,14,34,21,22,23,27,58,19
GENE4469,45,55,96,90,32,34,69,286,59,87,117,57
GENE4470,104,102,109,188,81,107,134,88,49,170,118,149
GENE4471,1,6,3,6,3,3,2,5,1,2,6,2
GENE4472,6,14,5,7,14,23,7,9,9,13,14,16
GENE4473,741,1065,784,1222,640,1807,575,1206,1122,441,1352,1207
GENE4474,51,118,123,101,85,160,137,223,80,101,149,100
GENE4475,59,155,56,82,111,92,28,98,76,103,149,178
GENE4476,3,5,14,9,0,13,2,2,0,1,1,0
GENE4477,236,336,71,152,393,431,413,382,237,266,365,150
GENE4478,107,122,259,391,90,65,187,270,116,141,73,107
GENE4479,5,9,6,1,7,12,2,7,4,4,5,3
GENE4480,6,11,7,11,4,14,3,12,2,3,8,6
GENE4481,82,147,228,235,109,106,125,229,158,206,109,147
GENE4482,1,6,10,5,8,7,15,9,1,9,4,12
GENE4483,122,79,89,193,105,135,200,201,139,178,174,155
GENE4484,32,43,20,13,21,28,16,18,11,28,14,19
GENE4485,90,250,89,141,69,231,180,221,98,288,231,114
GENE4486,262,591,263,214,110,255,162,368,108,495,142,134
GENE4487,1004,1941,1514,1311,1168,1678,713,713,1093,854,588,858
GENE4488,4,0,2,0,1,2,3,9,2,2,3,3
GENE4489,4,11,6,4,3,6,5,12,2,6,5,2
GENE4490,14,64,36,51,8,74,25,88,34,37,84,27
GENE4491,610,504,926,770,434,657,659,892,307,847,344,706
GENE4492,128,71,172,110,90,252,70,271,95,92,137,108
GENE4493,1,5,2,10,5,5,5,8,4,8,5,6
GENE4494,294,241,283,278,187,270,331,289,95,263,449,222
GENE4495,31,32,38,32,32,47,21,44,35,45,35,26
GENE4496,378,662,741,448,192,491,352,448,338,520,327,353
GENE4497,5,12,6,15,1,17,2,20,6,5,9,3
GENE4498,229,120,243,186,50,349,141,226,171,189,191,123
GENE4499,378,581,675,499,438,433,258,1442,349,312,428,498
GENE4500,3,20,12,11,4,6,4,5,7,7,12,16
GENE4501,77,78,51,147,44,128,112,164,41,16,19,76
GENE4502,94,223,86,90,108,109,73,78,128,66,42,71
GENE4503,73,95,147,92,25,50,9,45,20,35,40,20
GENE4504,16,11,11,16,7,35,7,6,10,20,20,15
GENE4505,215,270,92,391,175,352,101,357,212,254,413,173
GENE4506,9,9,10,17,2,19,9,14,8,23,2,11
GENE4507,52,113,48,70,54,95,62,36,24,45,58,60
GENE4508,132,80,156,110,69,107,341,380,254,401,743,722
GENE4509,80,97,145,217,95,121,76,112,65,61,80,114
GENE4510,95,219,56,132,57,137,219,659,267,375,271,328
GENE4511,2,3,2,1,0,1,1,2,4,3,4,0
GENE4512,0,1,5,3,1,3,5,4,2,5,3,1
GENE4513,57,36,53,43,31,94,65,33,59,222,25,142
GENE4514,85,112,56,55,44,100,109,88,48,103,61,88
GENE4515,326,420,1017,762,345,390,670,844,298,849,437,252
GENE4516,66,53,12,67,35,45,16,59,29,26,49,43
GENE4517,12,71,50,45,28,75,53,41,24,48,20,21
GENE4518,2,6,7,12,4,14,1,8,2,2,5,5
GENE4519,97,121,160,135,36,126,84,65,57,112,83,45
GENE4520,435,577,367,635,268,591,874,819,605,409,479,543
GENE4521,27,45,19,23,12,34,23,44,21,34,23,22
GENE4522,160,37,197,208,69,83,95,140,167,144,134,138
GENE4523,569,240,293,178,159,470,3240,3631,2839,3633,1944,2925
GENE4524,163,467,260,532,123,419,174,673,268,406,209,199
GENE4525,194,162,599,397,201,118,302,147,238,219,192,362
GENE4526,222,222,248,107,161,349,163,161,158,123,71,75
GENE4527,1,3,4,5,2,3,3,4,3,7,3,1
GENE4528,1,1,3,0,1,0,11,26,17,3,15,16
GENE4529,78,95,108,114,30,75,164,212,35,166,54,59
GENE4530,3,5,6,6,2,1,6,5,0,3,0,0
GENE4531,183,264,326,217,342,391,383,283,187,198,245,124
GENE4532,16,2,13,35,16,32,17,27,21,35,31,23
GENE4533,1,3,5,9,6,4,4,7,3,7,6,6
GENE4534,101,224,270,281,92,119,246,516,386,523,425,223
GENE4535,9,16,20,32,22,19,3,7,1,4,5,2
GENE4536,6,16,14,11,8,11,5,7,2,7,10,10
GENE4537,77,122,142,194,87,167,199,84,109,367,100,164
GENE4538,34,11,26,57,39,32,21,82,32,17,11,22
GENE4539,7,3,6,9,3,9,9,12,8,15,6,9
GENE4540,11,13,9,13,3,11,6,18,7,20,6,2
GENE4541,3,6,1,14,1,1,1,9,1,2,4,4
GENE4542,200,526,970,665,167,585,884,1216,633,1042,435,571
GENE4543,258,915,727,303,201,588,827,629,353,546,612,202
GENE4544,23,90,35,32,43,63,36,41,27,47,38,84
GENE4545,23,8,9,14,5,11,14,18,11,11,18,21
GENE4546,184,73,59,118,106,80,1167,1292,561,566,423,1091
GENE4547,17,56,20,38,28,32,24,66,6,14,21,39
GENE4548,227,93,235,173,113,202,176,133,257,363,197,95
GENE4549,159,145,127,225,119,76,114,309,114,218,166,185
GENE4550,98,58,48,55,39,74,81,89,9,119,29,74
GENE4551,32,43,44,70,26,66,23,39,11,20,12,24
GENE4552,147,121,151,136,37,80,132,192,162,111,115,152
GENE4553,36,69,50,61,58,71,33,36,69,18,87,18
GENE4554,1,4,7,3,1,3,1,7,0,4,1,3
GENE4555,103,85,79,84,55,106,66,53,34,157,39,46
GENE4556,960,796,674,1388,508,1050,1132,1035,760,536,918,642
GENE4557,29,38,38,42,16,15,33,23,52,8,23,18
GENE4558,22,53,32,89,57,84,32,280,58,40,98,37
GENE4559,17,35,40,23,23,24,15,21,25,28,22,41
GENE4560,53,89,82,84,108,62,108,95,53,81,66,153
GENE4561,37,16,25,25,15,37,206,179,89,234,147,166
GENE4562,3046,1888,2356,1228,2269,3041,2432,2005,943,2762,2130,1971
GENE4563,61,156,136,172,35,133,76,117,147,133,78,101
GENE4564,22,48,58,73,60,86,63,126,19,43,18,51
GENE4565,73,68,128,97,38,117,69,98,82,49,116,69
GENE4566,23,56,98,58,42,94,54,47,22,29,87,81
GENE4567,548,508,485,509,258,324,943,757,282,1115,564,588
GENE4568,9,16,8,20,5,32,15,51,9,13,15,14
GENE4569,14,21,17,19,7,30,8,14,13,17,6,12
GENE4570,131,210,83,41,78,123,181,141,45,190,125,100
GENE4571,6,29,65,29,15,60,23,47,28,53,31,79
GENE4572,3,31,30,29,11,15,20,22,27,15,15,20
GENE4573,0,2,0,1,0,0,1,3,2,1,0,2
GENE4574,33,39,76,20,27,151,10,8,8,15,14,8
GENE4575,4,27,25,20,11,22,24,28,34,26,22,19
GENE4576,364,111,108,211,84,745,162,740,300,481,219,258
GENE4577,8,15,12,14,5,7,7,18,2,12,5,9
GENE4578,35,176,103,58,72,162,66,80,187,43,108,133
GENE4579,61,94,113,68,22,55,6,38,30,66,51,12
GENE4580,16,12,15,20,14,22,16,17,22,26,26,22
GENE4581,154,586,533,495,182,463,260,683,111,250,360,402
GENE4582,697,241,425,610,183,390,223,225,108,275,138,64
GENE4583,18,56,24,46,15,33,39,43,37,45,44,38
GENE4584,59,29,30,34,39,36,64,209,96,179,64,110
GENE4585,2,4,4,6,1,2,2,2,3,2,2,4
GENE4586,184,259,312,318,153,244,202,593,355,391,238,255
GENE4587,17,19,63,20,5,44,76,272,122,145,256,170
GENE4588,226,188,205,419,143,432,227,574,212,410,281,225
GENE4589,11,26,26,14,16,31,41,31,26,30,13,30
GENE4590,126,72,178,85,84,181,98,151,127,192,79,95
GENE4591,102,110,156,110,47,168,134,86,74,264,105,129
GENE4592,106,114,73,200,57,89,82,209,162,178,135,73
GENE4593,17,40,30,26,15,40,38,51,12,27,8,57
GENE4594,11,36,28,24,16,9,15,7,12,18,36,15
GENE4595,8,9,5,13,9,17,12,16,10,26,10,9
GENE4596,11,59,93,110,37,89,54,144,59,110,41,66
GENE4597,5,30,16,17,6,11,2,6,14,27,5,9
GENE4598,84,158,44,68,29,151,79,104,162,164,149,109
GENE4599,1,5,4,3,1,9,0,0,0,0,0,0
GENE4600,230,517,575,461,805,559,543,911,407,502,636,399
GENE4601,94,190,99,170,83,88,177,133,145,43,71,147
GENE4602,67,29,113,99,38,152,32,71,32,86,47,68
GENE4603,11,14,23,11,6,22,20,13,18,4,21,17
GENE4604,5,21,12,6,6,12,14,9,14,26,17,7
GENE4605,42,23,18,38,20,35,35,13,22,18,18,21
GENE4606,181,154,151,147,153,94,127,164,255,121,161,81
GENE4607,50,101,102,99,34,100,92,87,67,10,29,11
GENE4608,40,273,64,50,60,119,114,161,145,181,49,67
GENE4609,172,169,205,137,423,172,136,553,155,181,214,151
GENE4610,113,122,150,221,60,206,208,146,96,125,185,235
GENE4611,87,144,116,94,81,236,285,240,167,277,191,140
GENE4612,40,65,29,99,17,70,28,102,58,61,80,92
GENE4613,6,9,18,5,15,10,13,23,10,6,16,22
GENE4614,267,344,435,643,546,861,541,230,262,592,577,649
GENE4615,248,544,376,906,319,1136,257,448,185,530,289,434
GENE4616,0,3,3,1,2,7,5,4,2,3,4,1
GENE4617,32,35,52,30,21,33,32,23,18,21,30,15
GENE4618,1805,3004,2112,1463,1260,3279,2042,4041,1121,2415,2381,3248
GENE4619,443,474,595,361,121,828,375,1051,504,634,522,181
GENE4620,442,323,392,140,260,436,134,400,336,289,525,431
GENE4621,1,3,5,3,3,1,3,5,2,2,3,2
GENE4622,33,14,39,70,34,32,33,52,16,19,33,65
GENE4623,8,23,14,5,6,27,5,39,8,30,33,22
GENE4624,16,30,53,48,26,63,176,284,191,332,191,236
GENE4625,17,59,40,48,43,39,22,37,41,57,52,38
GENE4626,124,144,217,375,136,432,41,23,18,29,25,23
GENE4627,15,39,20,43,18,22,47,44,22,43,19,14
GENE4628,61,15,42,67,13,15,29,34,17,26,19,32
GENE4629,11,16,11,19,6,7,17,10,11,14,11,8
GENE4630,2,7,8,6,2,6,36,12,20,10,23,36
GENE4631,84,66,53,195,37,58,145,119,62,71,67,86
GENE4632,128,202,390,303,175,257,206,378,320,255,183,240
GENE4633,31,114,21,39,53,37,21,60,46,48,52,22
GENE4634,361,721,673,140,483,769,260,733,438,535,481,848
GENE4635,17,33,33,23,23,26,102,95,27,197,108,199
GENE4636,98,189,71,158,57,137,183,60,58,164,104,85
GENE4637,4,0,7,4,1,1,3,3,5,5,6,3
GENE4638,60,129,154,85,50,123,103,79,65,69,76,62
GENE4639,334,426,990,983,679,1600,874,1963,772,971,514,437
GENE4640,18,24,13,11,22,9,9,21,17,14,17,14
GENE4641,36,166,132,50,96,90,47,121,30,232,62,184
GENE4642,93,107,170,216,59,94,56,64,71,95,125,72
GENE4643,22,69,48,31,13,41,12,39,30,28,58,24
GENE4644,53,47,48,74,34,61,77,140,40,74,59,95
GENE4645,27,40,19,21,31,55,36,46,30,55,54,37
GENE4646,8,24,21,17,10,18,13,12,9,12,20,3
GENE4647,61,16,35,83,21,86,16,60,29,29,82,40
GENE4648,47,32,18,70,28,29,31,28,36,40,33,29
GENE4649,48,64,40,121,56,44,30,38,27,52,33,62
GENE4650,0,2,2,5,1,1,4,5,3,3,2,2
GENE4651,16,17,19,20,22,9,16,27,15,27,18,21
GENE4652,199,145,354,374,236,548,1116,1649,565,673,167,571
GENE4653,183,150,166,116,106,209,148,190,144,138,224,106
GENE4654,172,206,340,186,162,491,307,752,383,505,265,435
GENE4655,28,47,42,50,9,76,64,59,14,60,32,57
GENE4656,193,293,399,173,233,207,81,153,145,205,214,508
GENE4657,338,1145,484,1143,610,419,533,1933,163,917,350,731
GENE4658,23,35,48,26,37,43,30,42,17,33,26,34
GENE4659,65,90,42,58,17,69,35,58,32,69,71,21
GENE4660,5450,8595,9607,7658,3227,8238,8697,6504,3906,7669,5819,5227
GENE4661,7,18,19,41,30,22,40,23,17,20,23,18
GENE4662,2,0,2,6,1,2,5,6,0,3,2,2
GENE4663,269,1231,368,656,233,905,213,565,498,326,842,427
GENE4664,59,73,138,91,46,67,76,41,43,82,91,120
GENE4665,3,4,4,7,3,3,15,9,6,43,13,10
GENE4666,5,5,1,10,6,13,12,8,3,5,4,3
GENE4667,47,58,78,127,66,113,144,180,61,156,47,55
GENE4668,4,6,7,3,2,1,1,15,7,7,3,6
GENE4669,3,18,16,13,8,17,13,13,3,11,8,14
GENE4670,6,4,4,3,3,1,2,5,0,6,3,3
GENE4671,53,64,33,119,49,69,56,52,29,70,77,28
GENE4672,42,34,53,37,9,128,40,116,38,51,48,35
GENE4673,1,4,0,2,3,4,2,2,4,5,3,0
GENE4674,303,375,435,247,508,928,790,1199,412,675,459,549
GENE4675,2,7,9,3,17,20,11,15,8,13,7,9
GENE4676,8,32,33,10,9,35,8,38,25,29,15,24
GENE4677,854,665,1920,1806,1423,992,1146,1091,800,959,1754,1044
GENE4678,69,47,36,52,16,41,34,16,26,23,40,22
GENE4679,28,31,21,21,13,24,30,46,27,20,9,21
GENE4680,26,20,20,25,7,49,15,35,20,21,9,16
GENE4681,223,168,59,128,106,133,148,213,221,259,104,189
GENE4682,16,20,13,33,16,20,32,25,23,25,15,8
GENE4683,0,0,5,0,2,2,0,5,5,5,7,5
GENE4684,2,9,7,0,13,10,6,2,4,7,9,5
GENE4685,10,21,12,13,5,13,8,29,9,15,10,12
GENE4686,51,50,17,32,18,40,19,26,24,38,50,21
GENE4687,4,6,4,3,4,4,5,6,0,1,7,6
GENE4688,109,79,34,64,12,18,54,78,14,136,76,48
GENE4689,16,9,19,19,16,31,207,249,243,148,184,180
GENE4690,8,19,12,14,3,9,7,8,6,11,13,3
GENE4691,48,26,27,19,18,32,39,80,21,57,61,29
GENE4692,814,971,1282,737,511,1202,1360,1130,1021,1217,776,995
GENE4693,33,39,36,21,8,38,32,34,9,26,19,25
GENE4694,30,39,45,66,29,16,145,553,277,273,154,121
GENE4695,186,456,198,237,169,289,290,328,139,310,104,58
GENE4696,16,43,48,31,36,25,39,63,18,23,17,47
GENE4697,76,109,190,72,47,92,81,100,36,40,74,45
GENE4698,75,95,117,212,80,127,126,82,55,119,114,84
GENE4699,2,5,6,4,4,19,4,7,3,6,8,11
GENE4700,69,223,126,158,131,90,89,132,139,161,31,86
GENE4701,16,24,25,14,7,19,10,31,6,17,13,4
GENE4702,8,43,30,17,12,17,35,28,19,22,27,25
GENE4703,39,38,87,108,37,71,32,44,34,58,28,40
GENE4704,5,10,11,6,3,9,12,16,3,6,5,3
GENE4705,95,202,61,252,95,191,102,154,55,163,155,88
GENE4706,138,197,272,293,122,362,214,355,175,139,175,116
GENE4707,1409,3238,3409,3189,2517,3382,2998,1997,1074,1223,2508,2402
GENE4708,14,17,11,4,12,25,24,8,4,32,44,18
GENE4709,17,20,21,39,16,56,141,135,109,80,99,103
GENE4710,471,1054,353,994,331,819,769,1085,730,725,932,1621
GENE4711,1,2,4,7,2,2,0,2,4,3,4,3
GENE4712,5,26,7,25,12,18,11,14,21,16,7,9
GENE4713,305,620,701,959,397,726,487,463,606,605,361,617
GENE4714,15,18,15,6,11,8,15,32,4,10,8,14
GENE4715,2714,2760,1200,583,2121,2644,2145,1814,1557,2878,1393,1498
GENE4716,16,20,37,30,10,24,5,7,22,12,17,19
GENE4717,11,11,7,8,3,11,13,8,7,8,9,6
GENE4718,58,105,29,71,43,78,45,99,39,31,51,30
GENE4719,33,65,74,58,21,44,61,90,30,106,84,28
GENE4720,17,20,32,6,26,13,17,41,13,22,36,39
GENE4721,20,20,11,9,18,18,21,39,17,32,21,27
GENE4722,26,99,34,32,32,95,49,96,56,45,25,51
GENE4723,20,20,6,15,6,19,20,25,16,32,16,16
GENE4724,8,9,4,13,9,15,14,7,7,17,15,6
GENE4725,29,36,44,70,31,61,38,31,58,55,37,63
GENE4726,34,23,62,55,28,77,22,34,11,30,15,42
GENE4727,0,5,5,2,0,11,8,1,2,4,3,3
GENE4728,73,84,119,135,28,85,92,87,78,45,55,91
GENE4729,42,24,19,40,15,25,30,57,53,30,46,29
GENE4730,415,391,357,562,300,595,230,765,290,174,420,516
GENE4731,18,35,9,35,9,28,30,37,21,23,14,11
GENE4732,10,12,3,9,6,11,6,9,2,7,6,11
GENE4733,6,8,14,22,13,24,56,44,37,66,32,29
GENE4734,331,288,254,344,211,218,305,500,236,244,199,627
GENE4735,81,227,234,166,72,119,126,142,88,99,62,59
GENE4736,25,17,84,28,27,27,43,63,18,122,59,33
GENE4737,11,7,6,3,6,15,4,10,1,3,2,4
GENE4738,26,10,21,17,13,16,33,19,4,8,18,17
GENE4739,51,79,37,93,41,42,51,61,28,47,37,6
GENE4740,110,185,62,102,65,119,114,200,151,97,69,143
GENE4741,12,20,31,12,26,42,7,22,9,10,17,5
GENE4742,260,584,483,538,142,330,992,1624,1760,2671,2723,1392
GENE4743,29,35,22,65,24,69,51,22,21,44,26,22
GENE4744,103,201,534,354,156,352,205,663,405,324,276,383
GENE4745,5,5,3,7,2,8,5,8,3,19,3,15
GENE4746,94,254,122,134,103,187,154,128,147,115,200,125
GENE4747,29,36,13,40,8,25,8,46,24,27,22,12
GENE4748,0,2,3,8,1,9,1,3,2,2,1,0
GENE4749,105,266,161,121,179,170,106,62,93,59,114,186
GENE4750,20,30,18,17,13,30,25,37,10,22,14,17
GENE4751,267,189,151,193,167,414,80,176,393,271,358,250
GENE4752,8,16,2,16,3,11,6,9,7,8,23,6
GENE4753,55,31,70,21,49,42,53,73,36,58,35,32
GENE4754,93,69,58,147,33,183,77,58,74,125,106,56
GENE4755,1,4,1,5,3,4,4,5,1,8,3,5
GENE4756,17,32,7,28,27,15,30,56,27,17,23,37
GENE4757,63,177,232,95,133,261,843,864,426,1784,748,1222
GENE4758,6,3,14,9,5,16,15,22,11,6,24,5
GENE4759,23,15,7,26,21,24,20,17,22,19,9,15
GENE4760,166,193,367,295,85,315,163,243,104,225,156,134
GENE4761,6012,2586,4852,4895,3553,6248,6763,8600,3439,3350,6703,7157
GENE4762,20,25,14,54,14,19,19,36,10,8,19,16
GENE4763,90,65,74,33,86,194,81,139,40,37,42,52
GENE4764,22,23,5,32,1,45,10,18,12,25,7,8
GENE4765,356,462,469,606,86,907,780,545,498,524,294,450
GENE4766,21,14,41,38,7,24,31,20,6,13,19,16
GENE4767,32,130,105,45,79,109,103,103,59,45,83,65
GENE4768,210,410,508,181,209,520,326,403,424,421,261,387
GENE4769,2,8,11,10,2,19,18,27,4,23,18,9
GENE4770,67,171,180,115,50,150,133,298,89,97,97,103
GENE4771,33,25,25,20,10,58,31,39,47,33,27,4
GENE4772,1,2,1,9,7,6,20,41,18,44,20,15
GENE4773,8,15,29,11,13,3,22,13,10,22,21,39
GENE4774,69,64,58,63,14,42,43,54,32,26,14,32
GENE4775,9,15,16,28,4,16,23,30,20,21,25,22
GENE4776,161,334,87,221,206,163,165,339,112,326,230,203
GENE4777,20,18,31,14,29,62,19,58,20,11,18,49
GENE4778,98,81,81,60,55,75,43,39,52,122,45,42
GENE4779,103,73,138,69,67,238,198,172,64,133,43,70
GENE4780,1104,1833,1216,2437,835,848,1652,2730,1461,1043,1415,2481
GENE4781,128,266,136,200,106,142,208,274,38,99,226,117
GENE4782,15,4,15,11,4,10,30,10,13,20,24,13
GENE4783,338,347,780,764,594,896,614,1378,361,156,948,633
GENE4784,86,82,108,117,46,73,44,62,58,45,44,49
GENE4785,39,97,73,81,85,135,389,707,600,720,395,235
GENE4786,5,11,9,12,3,8,0,15,6,6,2,7
GENE4787,5,24,64,42,14,48,17,73,26,44,50,40
GENE4788,37,83,56,124,93,105,60,180,84,90,61,80
GENE4789,2,6,1,8,5,2,3,3,2,1,6,0
GENE4790,20,36,15,41,7,18,45,25,17,37,10,35
GENE4791,35,65,52,50,23,44,51,102,23,55,46,47
GENE4792,11,29,25,14,13,26,9,21,6,19,25,27
GENE4793,410,200,188,491,210,347,487,277,229,547,875,353
GENE4794,488,732,795,541,533,462,917,1355,1115,580,620,325
GENE4795,5,3,3,10,6,5,6,6,5,8,5,6
GENE4796,3,1,0,2,3,3,1,1,1,1,2,2
GENE4797,2,16,3,7,3,10,3,4,3,6,10,4
GENE4798,282,534,353,727,303,606,699,637,296,872,847,255
GENE4799,9,11,3,3,6,6,9,14,5,5,3,6
GENE4800,43,22,22,62,14,35,42,24,13,16,44,50
GENE4801,480,351,317,709,121,235,654,416,230,414,286,724
GENE4802,67,219,104,296,194,302,295,936,429,293,484,538
GENE4803,150,229,145,254,204,260,257,401,162,122,128,178
GENE4804,42,48,68,49,38,60,42,97,17,85,78,78
GENE4805,1864,2090,1365,1847,413,1285,1940,4333,395,1099,890,789
GENE4806,14,21,27,18,10,50,14,20,11,31,25,19
GENE4807,1,14,9,12,10,8,5,10,4,6,11,9
GENE4808,62,59,29,105,52,34,70,50,41,55,51,34
GENE4809,4397,6750,3221,4206,4142,5206,4183,4650,3065,3789,4854,7509
GENE4810,755,741,747,238,796,819,657,828,392,727,640,738
GENE4811,11,36,30,51,16,44,32,66,12,25,30,13
GENE4812,4,3,6,4,0,8,7,8,3,7,4,2
GENE4813,30,53,57,45,40,125,39,75,38,71,54,86
GENE4814,150,117,142,122,88,182,172,127,96,165,143,226
GENE4815,216,87,125,139,145,168,219,109,29,170,168,70
GENE4816,19,42,32,62,15,59,244,374,237,389,278,440
GENE4817,8,13,7,9,3,18,21,9,6,27,10,7
GENE4818,25,27,35,18,21,17,24,21,10,21,25,8
GENE4819,133,83,153,97,57,81,73,93,73,130,110,169
GENE4820,316,501,324,339,286,724,467,431,562,492,503,138
GENE4821,421,134,288,371,215,305,188,329,134,541,357,233
GENE4822,10,46,44,46,23,27,28,28,25,46,50,26
GENE4823,28,59,20,31,16,18,37,17,32,51,30,18
GENE4824,231,285,161,242,308,270,398,243,170,218,447,392
GENE4825,280,485,244,211,56,368,291,272,235,408,366,349
GENE4826,76,129,171,129,83,195,234,135,93,97,95,110
GENE4827,2,0,1,3,0,4,0,0,0,0,0,0
GENE4828,3,5,4,12,5,13,16,6,8,17,19,2
GENE4829,69,270,164,235,118,250,147,95,161,211,125,222
GENE4830,342,707,417,489,73,207,197,168,218,663,210,319
GENE4831,136,118,164,146,75,143,62,104,42,73,109,98
GENE4832,36,79,59,81,78,63,89,80,60,41,49,62
GENE4833,26,51,64,35,32,49,33,73,24,78,52,43
GENE4834,91,66,107,118,41,170,70,203,43,66,148,56
GENE4835,5,8,4,0,1,8,7,8,6,4,7,3
GENE4836,10,21,14,19,6,9,17,23,5,19,10,21
GENE4837,110,186,152,185,57,293,81,182,94,68,132,94
GENE4838,41,28,25,18,18,61,31,76,17,33,60,33
GENE4839,59,53,20,49,29,20,38,30,22,38,32,40
GENE4840,16,68,66,46,20,67,45,53,85,89,35,22
GENE4841,56,149,153,71,47,97,43,72,110,49,54,113
GENE4842,13,31,31,13,5,31,28,26,14,18,24,22
GENE4843,9,12,9,18,6,20,14,18,10,15,13,12
GENE4844,64,40,122,109,53,132,61,69,37,110,67,74
GENE4845,1,3,3,7,3,5,11,11,4,11,6,10
GENE4846,11,55,40,87,11,57,58,44,48,29,23,33
GENE4847,5,2,3,4,0,5,10,5,7,7,1,7
GENE4848,168,204,259,271,203,238,211,171,75,172,266,271
GENE4849,2132,3110,2100,2513,1098,3307,2461,1252,1891,1970,2231,2155
GENE4850,2,10,13,6,5,11,9,3,14,2,11,5
GENE4851,176,265,273,200,101,109,281,231,353,203,311,187
GENE4852,15,16,14,29,25,33,25,9,23,45,13,18
GENE4853,16,19,25,13,11,29,17,31,12,29,38,14
GENE4854,16,23,34,28,8,14,26,40,14,23,35,29
GENE4855,106,93,101,89,70,114,77,137,62,122,48,60
GENE4856,61,65,137,355,43,127,88,71,117,80,121,156
GENE4857,14,14,32,38,16,9,5,16,20,6,8,24
GENE4858,9,23,8,31,13,13,24,17,8,41,13,14
GENE4859,99,471,161,387,194,524,287,445,130,662,319,272
GENE4860,455,237,713,598,333,1067,173,619,381,277,317,463
GENE4861,8,15,8,16,8,8,11,9,13,25,5,9
GENE4862,20,38,17,42,17,26,16,50,17,18,17,41
GENE4863,118,248,357,291,120,451,310,319,131,534,280,152
GENE4864,897,1430,1551,3596,756,1922,1595,1729,705,1487,1140,1570
GENE4865,81,153,58,98,70,51,73,89,74,97,69,104
GENE4866,55,100,118,129,50,84,146,160,138,72,142,122
GENE4867,17,20,11,20,9,14,13,24,14,14,10,2
GENE4868,276,439,355,151,229,208,227,107,201,309,197,187
GENE4869,90,97,241,122,80,157,91,62,22,210,49,53
GENE4870,15,31,46,38,17,62,28,18,37,12,22,19
GENE4871,36,51,28,55,12,39,33,16,32,74,46,72
GENE4872,738,3114,1664,1807,1444,2946,507,1359,448,604,257,821
GENE4873,981,1308,486,346,377,620,459,275,479,898,332,615
GENE4874,364,234,719,798,355,972,815,810,529,620,159,483
GENE4875,6,20,10,16,10,6,36,11,10,12,18,24
GENE4876,2,7,3,6,7,10,17,7,5,3,4,16
GENE4877,3,6,4,2,7,2,2,3,6,11,6,2
GENE4878,115,186,125,130,86,208,177,184,246,244,140,52
GENE4879,6,12,15,11,3,6,8,11,11,7,10,9
GENE4880,4,9,3,8,10,28,12,15,5,10,15,12
GENE4881,381,226,364,320,115,299,3351,2679,4299,1223,1053,2733
GENE4882,2,1,2,4,1,2,0,1,1,0,0,2
GENE4883,117,145,111,120,137,137,61,146,173,177,96,101
GENE4884,7,11,11,8,7,5,12,9,3,6,13,1
GENE4885,47,59,54,75,49,37,90,57,59,55,28,64
GENE4886,2073,1132,1869,2577,1351,1640,1809,3281,932,1542,1598,1461
GENE4887,65,67,130,60,104,85,48,128,95,130,60,109
GENE4888,14,30,52,22,22,40,18,85,22,32,63,13
GENE4889,32,35,27,51,11,58,49,81,33,35,40,17
GENE4890,3,28,63,48,23,31,31,103,14,87,16,34
GENE4891,10,13,15,30,27,13,26,17,17,30,17,34
GENE4892,1,4,5,1,2,1,2,4,1,2,4,5
GENE4893,6,12,10,19,7,15,18,34,9,10,17,8
GENE4894,355,437,564,1020,185,632,342,407,326,363,805,581
GENE4895,245,1263,284,642,233,448,335,385,740,459,200,262
GENE4896,72,114,144,110,85,133,128,67,102,283,142,78
GENE4897,39,56,44,59,46,75,65,37,37,75,81,61
GENE4898,61,256,197,153,118,107,179,188,94,176,57,143
GENE4899,63,56,69,123,72,44,43,75,28,110,52,112
GENE4900,43,163,78,68,41,173,143,246,108,129,94,66
GENE4901,352,611,382,546,490,924,488,785,716,1030,639,498
GENE4902,381,208,393,233,135,511,334,1017,152,562,672,265
GENE4903,24,41,42,30,36,55,29,41,31,57,23,19
GENE4904,9,18,15,14,15,29,21,23,15,8,12,11
GENE4905,0,3,4,6,5,1,3,6,2,2,5,5
GENE4906,12,11,18,15,6,24,47,69,16,23,31,22
GENE4907,15,33,50,47,26,43,89,171,48,81,186,215
GENE4908,19,46,39,63,16,25,19,56,28,73,29,22
GENE4909,30,72,86,39,57,42,45,28,43,51,100,30
